,tmsp,country,amount,success,PSP,3D_secured,card,time_diff_cum
0,1/1/2019 0:01,Germany,89,0,UK_Card,0,Visa,0
1,1/1/2019 0:01,Germany,89,1,UK_Card,0,Visa,6
2,1/1/2019 0:02,Germany,238,0,UK_Card,1,Diners,98
3,1/1/2019 0:03,Germany,238,1,UK_Card,1,Diners,122
4,1/1/2019 0:04,Austria,124,0,Simplecard,0,Diners,202
5,1/1/2019 0:06,Switzerland,282,0,UK_Card,0,Master,330
6,1/1/2019 0:07,Switzerland,282,0,Simplecard,0,Master,368
7,1/1/2019 0:08,Germany,117,1,UK_Card,0,Master,455
8,1/1/2019 0:09,Switzerland,174,0,Simplecard,0,Visa,525
9,1/1/2019 0:10,Switzerland,174,0,Simplecard,0,Visa,578
10,1/1/2019 0:12,Austria,232,0,Simplecard,1,Diners,664
11,1/1/2019 0:12,Austria,232,0,UK_Card,1,Diners,701
12,1/1/2019 0:13,Austria,232,0,UK_Card,1,Diners,743
13,1/1/2019 0:13,Austria,232,0,UK_Card,1,Diners,753
14,1/1/2019 0:14,Austria,232,1,UK_Card,1,Diners,804
15,1/1/2019 0:15,Germany,268,0,Simplecard,0,Master,874
16,1/1/2019 0:18,Switzerland,89,0,Simplecard,0,Master,1027
17,1/1/2019 0:18,Switzerland,89,0,UK_Card,0,Master,1030
18,1/1/2019 0:18,Switzerland,89,0,Moneycard,0,Master,1046
19,1/1/2019 0:20,Germany,205,0,UK_Card,0,Master,1182
20,1/1/2019 0:20,Germany,205,0,UK_Card,0,Master,1185
21,1/1/2019 0:21,Germany,205,1,Moneycard,0,Master,1200
22,1/1/2019 0:23,Switzerland,111,0,Simplecard,0,Master,1357
23,1/1/2019 0:24,Switzerland,111,0,UK_Card,0,Master,1410
24,1/1/2019 0:24,Switzerland,111,0,UK_Card,0,Master,1424
25,1/1/2019 0:25,Switzerland,111,0,UK_Card,0,Master,1476
26,1/1/2019 0:26,Switzerland,111,0,UK_Card,0,Master,1496
